FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
51730,178.94634955752213,3035235843.0,8,89
17005,120.81375,916485481.0,5,43
08021,106.04666666666667,257917038.0,3,24
39159,219.75044762757386,9425450907.0,9,168
13023,111.60778781038374,273935396.0,4,23
C1526,147.21864478114477,6715787511.0,23,165
C4246,636.0,527620997.0,962,15945
51678,159.75580431177445,770034081.0,5,37
C3670,660.75,1032159510.0,1670,30023
28117,156.31463595839526,1215383690.0,6,63
06065,554.57440996503499,189289937726.0,196,2151
28017,137.61544991511036,1067482242.0,5,61
78000,352.13782573289905,11620526482.0,25,252
56041,215.28231292517006,2669036074.0,8,65
C4226,374.65415291529155,69999828748.0,116,NA
C4770,874.25,1647993387.0,1920,36292
31097,132.81615776081424,185626427.0,3,16
37031,253.43792955326461,4751480216.0,16,143
